url,title,genre,views,rating
https://www.webtoons.com/en/fantasy/from-morning-to-night/list?title_no=3207,From Morning to Night,Fantasy,1.2M,9.28
https://www.webtoons.com/en/supernatural/unholy-blood/list?title_no=1262,Unholy Blood,Supernatural,116.9M,9.86
https://www.webtoons.com/en/thriller/its-mine/list?title_no=2010,It's Mine,Thriller,88.4M,9.73
https://www.webtoons.com/en/romance/discovering-love-a-harlequin-romance-collection/list?title_no=3791,Discovering Love: A Harlequin Romance Collection,Romance,"746,271",9.03
https://www.webtoons.com/en/slice-of-life/she-bites/list?title_no=3236,She Bites!,Slice of life,1.1M,9.68
https://www.webtoons.com/en/drama/mayas-world/list?title_no=3200,Maya's World,Drama,1.8M,9.21
https://www.webtoons.com/en/drama/the-aftermath/list?title_no=3344,The Aftermath,Drama,"906,490",9.49
https://www.webtoons.com/en/sf/the-sound-of-another/list?title_no=2955,The Sound of Another,Sci-fi,3.2M,8.58
https://www.webtoons.com/en/drama/code-helix/list?title_no=3267,CODE HELIX,Drama,"867,864",9.58
https://www.webtoons.com/en/mystery/dr-frost/list?title_no=371,Dr. Frost,Mystery,38.4M,9.8
https://www.webtoons.com/en/drama/tomorrow/list?title_no=3913,Tomorrow,Drama,1.4M,9.64
https://www.webtoons.com/en/drama/to-be-ordinary/list?title_no=3246,To Be Ordinary!,Drama,1.2M,9.25
https://www.webtoons.com/en/action/if/list?title_no=1925,IF,Action,4.2M,9.06
https://www.webtoons.com/en/slice-of-life/kidults/list?title_no=2968,Kidults,Slice of life,2.6M,9.51
https://www.webtoons.com/en/fantasy/soleil/list?title_no=1823,SOLEIL,Fantasy,7.4M,9.53
https://www.webtoons.com/en/thriller/of-what-remains/list?title_no=2720,Of What Remains,Thriller,1M,9.63
https://www.webtoons.com/en/comedy/romance-punch/list?title_no=3360,Romance Punch,Comedy,"421,102",8.87
https://www.webtoons.com/en/drama/asterion/list?title_no=2471,Asterion,Drama,1.9M,9.07
https://www.webtoons.com/en/thriller/money-game/list?title_no=3254,Money Game,Thriller,1.9M,8.93
https://www.webtoons.com/en/historical/the-snake-and-the-flower/list?title_no=2619,The Snake and the Flower,Historical,5.4M,9.7
https://www.webtoons.com/en/drama/blue/list?title_no=3477,Blue,Drama,"588,229",9.83
https://www.webtoons.com/en/fantasy/savior/list?title_no=3413,Savior,Fantasy,2.5M,9.39
https://www.webtoons.com/en/drama/whale-star-the-gyeongseong-mermaid/list?title_no=3237,Whale Star: The Gyeongseong Mermaid,Drama,8.1M,9.86
https://www.webtoons.com/en/action/the-world-is-money-and-power/list?title_no=2615,The World is Money and Power,Action,5.9M,9.63
https://www.webtoons.com/en/drama/a-mans-man/list?title_no=2876,A Man's Man,Drama,2.6M,9.83
https://www.webtoons.com/en/action/survival-log/list?title_no=4175,Survival Log,Action,"554,427",8.86
https://www.webtoons.com/en/drama/da-yomanville-gang/list?title_no=1578,Da Yomanville Gang,Drama,19.1M,9.18
